
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
58,TrevorBooker,PF,26,WAS,72,1553,15.0,.563,.005,.189,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,0.0,2.3,2.0,4.3,.132,0.0,-1.1,1.3,0.2,0.8
59,CarlosBoozer,PF,32,CHI,76,2141,14.4,.489,.002,.197,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,0.0,-0.9,4.3,3.4,.076,0.0,-4.0,0.6,-3.4,-0.7
60,ChrisBosh,C,29,MIA,79,2531,19.0,.597,.229,.285,5.1,20.3,13.0,5.8,1.7,2.7,10.4,22.6,0.0,4.6,3.4,8.0,.152,0.0,0.5,0.0,0.5,1.6
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
61,AveryBradley,PG,23,BOS,60,1855,12.7,.510,.242,.136,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,0.0,0.4,1.4,1.8,.046,0.0,-1.1,-1.4,-2.5,-0.2
62,EltonBrand,C,34,ATL,73,1414,14.0,.561,.006,.283,8.0,21.5,14.8,8.1,1.4,4.9,13.8,13.9,0.0,1.4,2.1,3.6,.121,0.0,-2.7,3.1,0.5,0.9
63,CoreyBrewer,SF,27,MIN,81,2609,12.7,.550,.261,.281,2.6,6.2,4.3,7.9,2.9,0.9,10.4,16.5,0.0,2.4,2.7,5.2,.095,0.0,0.4,1.3,1.7,2.4
64,RonnieBrewer,SF,28,TOT,24,160,3.4,.220,.533,.133,1.5,7.9,4.9,8.1,1.9,0.5,11.2,4.9,0.0,-0.1,0.1,0.0,.004,0.0,-4.6,1.2,-3.4,-0.1
64,RonnieBrewer,SF,28,HOU,23,158,3.5,.220,.533,.133,1.5,8.0,4.9,8.2,1.9,0.5,11.2,5.0,0.0,-0.1,0.1,0.0,.004,0.0,-4.6,1.2,-3.4,-0.1
64,RonnieBrewer,SF,28,CHI,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.029,0.0,-7.3,1.0,-6.3,0.0
65,AaronBrooks,PG,29,TOT,72,1557,12.5,.518,.427,.164,3.1,6.7,4.9,23.3,1.6,0.6,15.8,20.5,0.0,1.3,0.9,2.2,.067,0.0,0.4,-1.9,-1.5,0.2
65,AaronBrooks,PG,29,HOU,43,716,11.9,.529,.502,.167,3.8,5.7,4.8,18.1,1.7,0.6,15.3,20.4,0.0,0.6,0.5,1.1,.076,0.0,0.3,-2.1,-1.8,0.0
65,AaronBrooks,PG,29,DEN,29,841,12.9,.508,.365,.160,2.6,7.5,5.0,27.7,1.6,0.6,16.2,20.5,0.0,0.6,0.4,1.0,.058,0.0,0.4,-1.6,-1.2,0.2
66,MarShonBrooks,SG,25,TOT,35,316,15.5,.551,.200,.352,3.4,15.5,9.3,12.9,2.2,0.9,14.3,23.4,0.0,0.1,0.3,0.4,.060,0.0,-2.1,-1.6,-3.7,-0.1
66,MarShonBrooks,SG,25,BOS,10,73,10.7,.514,.167,.583,1.5,28.8,14.8,8.6,0.7,1.1,18.8,22.6,0.0,-0.1,0.1,0.0,.017,0.0,-6.7,-1.6,-8.3,-0.1
66,MarShonBrooks,SG,25,GSW,7,15,24.3,.440,.154,.308,7.4,28.6,18.2,0.0,3.3,0.0,0.0,43.3,0.0,0.0,0.0,0.0,.087,0.0,-7.8,-10.6,-18.4,-0.1
66,MarShonBrooks,SG,25,LAL,18,228,16.5,.578,.216,.295,3.7,10.3,7.0,15.2,2.6,0.9,14.6,22.3,0.0,0.2,0.1,0.3,.072,0.0,-0.2,-1.0,-1.3,0.0
67,LorenzoBrown,PG,23,PHI,26,224,8.2,.349,.349,.151,3.7,10.0,6.8,27.5,2.8,1.1,14.9,20.4,0.0,-0.5,0.2,-0.3,-0.068,0.0,-5.0,-1.8,-6.8,-0.3
68,ShannonBrown,SG,28,TOT,29,251,4.7,.419,.030,.318,3.2,9.5,6.4,5.0,2.7,0.0,19.3,17.1,0.0,-0.5,0.3,-0.3,-0.050,0.0,-6.8,-0.3,-7.0,-0.3
68,ShannonBrown,SG,28,SAS,10,103,-0.5,.360,.071,.321,1.1,12.6,7.1,6.4,0.5,0.0,20.0,17.5,0.0,-0.3,0.1,-0.2,-0.102,0.0,-9.2,-0.9,-10.1,-0.2
68,ShannonBrown,SG,28,NYK,19,148,8.4,.462,.000,.316,4.6,7.4,6.0,4.1,4.3,0.0,18.8,16.7,0.0,-0.2,0.2,0.0,-0.013,0.0,-5.0,0.2,-4.9,-0.1
69,KobeBryant,SG,35,LAL,6,177,10.7,.505,.219,.288,1.2,14.5,7.8,34.6,1.9,0.4,29.2,28.7,0.0,-0.5,0.1,-0.4,-0.097,0.0,-4.7,-1.3,-5.9,-0.2
70,ChaseBudinger,SF,25,MIN,41,751,9.7,.505,.472,.154,2.7,12.5,7.5,6.2,1.2,0.2,8.1,16.7,0.0,0.3,0.6,0.9,.059,0.0,-1.3,-1.3,-2.6,-0.1
71,ReggieBullock,SF,22,LAC,43,395,6.7,.460,.603,.074,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,0.0,-0.2,0.3,0.2,.019,0.0,-2.9,-1.8,-4.7,-0.3
72,TreyBurke,PG,21,UTA,70,2262,12.6,.473,.375,.126,1.8,9.0,5.3,29.4,1.0,0.2,12.2,21.8,0.0,1.0,0.0,0.9,.020,0.0,0.5,-3.0,-2.5,-0.3
73,AlecBurks,SG,22,UTA,78,2193,15.8,.547,.172,.449,3.0,10.7,6.8,16.9,1.7,0.5,13.0,23.9,0.0,2.6,0.6,3.2,.070,0.0,0.5,-1.7,-1.2,0.5
74,CaronButler,SF,33,TOT,56,1419,12.2,.512,.461,.139,1.7,16.8,9.2,9.6,1.7,1.0,9.5,20.1,0.0,0.6,1.2,1.8,.062,0.0,-0.7,-1.4,-2.1,0.0
74,CaronButler,SF,33,MIL,34,821,12.4,.494,.415,.158,2.2,20.5,11.0,11.9,1.5,1.1,12.1,23.7,0.0,-0.2,0.5,0.2,.014,0.0,-1.7,-2.1,-3.9,-0.4
74,CaronButler,SF,33,OKC,22,598,11.9,.548,.548,.102,1.0,11.9,6.7,6.4,2.0,0.8,4.0,15.0,0.0,0.9,0.7,1.6,.127,0.0,0.6,-0.4,0.2,0.3
75,JimmyButler,SG,24,CHI,67,2591,13.5,.522,.346,.488,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,0.0,2.4,4.6,7.1,.131,0.0,0.0,2.4,2.4,2.9
76,RasualButler,SG,34,IND,50,378,12.2,.585,.564,.127,1.9,9.9,6.1,7.4,1.0,1.8,8.7,15.4,0.0,0.5,0.6,1.1,.138,0.0,-0.6,-0.3,-0.9,0.1
77,DwightBuycks,PG,24,TOR,14,146,7.2,.414,.354,.188,3.2,15.2,9.2,10.6,2.9,0.0,16.1,19.3,0.0,-0.2,0.2,0.0,-0.009,0.0,-4.8,0.2,-4.5,-0.1
78,AndrewBynum,C,26,TOT,26,516,15.2,.456,.000,.218,11.4,20.3,15.8,9.7,0.6,4.7,12.1,24.3,0.0,-0.2,0.6,0.4,.038,0.0,-4.1,0.6,-3.4,-0.2
78,AndrewBynum,C,26,CLE,24,480,14.8,.456,.000,.207,10.7,18.9,14.7,9.6,0.6,4.9,11.9,23.4,0.0,-0.2,0.5,0.4,.036,0.0,-4.0,0.8,-3.1,-0.1
78,AndrewBynum,C,26,IND,2,36,19.9,.459,.000,.318,19.7,38.8,29.7,11.2,0.0,2.1,13.8,36.9,0.0,0.0,0.1,0.0,.063,0.0,-5.7,-1.7,-7.4,0.0
79,WillBynum,PG,31,DET,56,1054,14.4,.502,.144,.281,2.4,8.2,5.1,32.5,1.9,0.5,17.6,23.8,0.0,0.6,0.4,1.0,.047,0.0,-0.7,-2.8,-3.5,-0.4
80,NickCalathes,SG,24,MEM,71,1173,12.3,.506,.196,.232,2.3,11.5,6.9,26.5,3.0,0.6,22.8,17.5,0.0,-0.1,1.6,1.5,.062,0.0,-1.9,0.8,-1.1,0.3
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
81,JoseCalderon,PG,32,DAL,81,2468,15.2,.596,.568,.084,1.4,7.6,4.5,22.4,1.4,0.4,11.7,16.2,0.0,5.4,0.8,6.3,.122,0.0,3.3,-2.0,1.3,2.1
82,KentaviousCaldwell-Pope,SG,20,DET,80,1583,9.4,.483,.402,.133,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,0.0,1.0,0.8,1.8,.055,0.0,-1.2,-0.8,-2.1,0.0
83,IsaiahCanaan,PG,22,HOU,22,252,9.5,.506,.632,.333,3.3,7.1,5.3,13.2,1.6,1.2,17.4,21.0,0.0,0.0,0.2,0.2,.031,0.0,-1.4,-2.0,-3.4,-0.1
84,DeMarreCarroll,SF,27,ATL,73,2341,13.9,.575,.417,.220,5.3,14.5,10.0,8.9,2.3,0.7,10.1,15.2,0.0,3.2,2.6,5.8,.119,0.0,1.0,1.1,2.1,2.4
85,VinceCarter,SG,37,DAL,81,1973,15.9,.539,.457,.242,4.0,12.6,8.3,16.5,1.6,1.5,10.7,23.1,0.0,3.0,1.3,4.3,.105,0.0,2.2,-1.0,1.1,1.6
86,MichaelCarter-Williams,PG,22,PHI,70,2414,15.5,.480,.197,.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,0.0,-0.8,2.1,1.3,.026,0.0,-0.6,0.4,-0.2,1.1
87,OmriCasspi,PF,25,HOU,71,1283,12.9,.528,.429,.298,5.1,16.8,11.3,10.5,1.7,0.8,13.4,18.3,0.0,1.0,1.4,2.4,.091,0.0,-0.6,-0.2,-0.8,0.4
